,0,1,2,3,4,5,cmx,cmx_mean,cmx_sd,cmx_rn7
0,5b92e784f0d8ee0001c1de58,28,female,1,invisible,PARTICIPANT_rantool2_2021-09-06_18h46.13.232.csv,0.28094917564915367,0.11549382591950276,0.2502667322676796,"0.46441427467131635,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9382127444598711,0.9382127444598711,0.9831162550639014,0.9382127444598711,0.8497583695735704,0.6346123886036732,0.29797613620357616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29797613620357616,0.6346123886036732,0.8497583695735704,0.8497583695735704,0.6346123886036732,0.29797613620357616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1,5bad37d57d443700016cf598,34,male,0,invisible,PARTICIPANT_rantool2_2021-07-13_21h51.47.549.csv,0.46940450634852643,0.3651769719409163,0.20989737353218862,"0.6692712536042192,0.6860691934169049,0.8154676072578312,0.823976171113251,0.8905074235975434,0.8905074235975434,0.823976171113251,0.8154676072578312,0.6860691934169049,0.6692712536042192,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192"
2,5bbeeb1b8f3bd70001e7a828,27,male,1,invisible,PARTICIPANT_rantool2_2021-09-06_19h02.20.546.csv,0.8975221668375978,0.6337024220030671,0.16026913641093524,"0.823976171113251,0.8769383135347537,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.6658842842919371,0.7019007226164857,0.8769383135347537,0.823976171113251,0.823976171113251,0.8769383135347537,0.7780460470738995,0.6418282963660096,0.6418282963660096,0.7019007226164857,0.46441427467131635,0.7269794170326992,0.9302304327957966,0.6451223207131355,0.7795359730663132,0.8905074235975434,0.823976171113251,0.8154676072578312,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.6374076043985674,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.7148165412061984,1.0,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6418282963660096,0.7780460470738995,0.8769383135347537,0.823976171113251,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.6451223207131355,0.9302304327957966,0.7269794170326992,0.46441427467131635,0.7019007226164857,0.8769383135347537,0.8731641347200653,0.9036628786659733,0.8793119667114895,0.6658842842919371,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8154676072578312,0.8540687906769606,0.8540687906769606,0.6374076043985674,0.6374076043985674,0.8540687906769606,1.0,0.7148165412061984,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7780460470738995,0.6418282963660096,0.6418282963660096,0.7780460470738995,0.8769383135347537,0.823976171113251,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.823976171113251,0.8154676072578312,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.8540687906769606,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6538941581059146,0.7148165412061984,0.7272858092676827,0.6658842842919371,0.5163666294930522,0.6658842842919371,0.7272858092676827,0.6658842842919371,0.7019007226164857,0.8769383135347537,0.823976171113251,0.823976171113251,0.8154676072578312"
3,5bc623acd2bea100010c808e,28,female,0,invisible,PARTICIPANT_rantool2_2021-07-13_21h58.32.325.csv,0.9347245370550972,0.73282848174367,0.14906542055573344,"0.8154676072578312,0.8731641347200653,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.9382127444598711,0.8793119667114895,0.6658842842919371,0.7019007226164857,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6538941581059146,0.7148165412061984,0.7272858092676827,0.7148165412061984,1.0,0.8540687906769606,0.8154676072578312,0.823976171113251,0.8905074235975434,0.8905074235975434,0.823976171113251,0.8154676072578312,0.8540687906769606,1.0,0.6888857714738319,0.7269794170326992,0.9302304327957966,0.6451223207131355,0.8731641347200653,0.8154676072578312,0.8540687906769606,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.6658842842919371,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9382127444598711,0.9382127444598711,0.9831162550639014,0.9382127444598711,0.9382127444598711,0.8793119667114895,0.6658842842919371,0.7019007226164857,0.8769383135347537,0.823976171113251,0.8905074235975434,0.7795359730663132,0.6451223207131355,0.9302304327957966,0.9302304327957966,0.6451223207131355,0.8731641347200653,0.8769383135347537,0.7780460470738995,0.8769383135347537,0.823976171113251,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.8497583695735704,0.9302304327957966,0.7269794170326992,0.46441427467131635,0.5163666294930522,0.46441427467131635,0.7269794170326992,0.9302304327957966,0.6451223207131355,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9036628786659733,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9036628786659733,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.8497583695735704,0.6346123886036732"
4,5c35db59aa03c3000163d24a,61,male,0,invisible,PARTICIPANT_rantool2_2021-07-13_21h27.29.545.csv,0.8039566596748302,0.6552382964436693,0.13965747269089263,"0.7780460470738995,0.8769383135347537,0.8731641347200653,0.9036628786659733,0.9831162550639014,0.9036628786659733,0.8731641347200653,0.8154676072578312,0.8540687906769606,1.0,0.6888857714738319,0.7269794170326992,0.7269794170326992,0.6888857714738319,1.0,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.8793119667114895,0.9382127444598711,0.9382127444598711,0.9831162550639014,0.9036628786659733,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.823976171113251,0.8769383135347537,0.7019007226164857,0.46441427467131635,0.3908942168211595,0.29797613620357616,0.29797613620357616,0.3908942168211595,0.6888857714738319,1.0,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.6658842842919371,0.7019007226164857,0.8769383135347537,0.823976171113251,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.9382127444598711,0.8793119667114895,0.7148165412061984,1.0,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.8793119667114895,0.9382127444598711,0.9382127444598711,0.8793119667114895,0.7148165412061984,1.0,0.8540687906769606,0.6374076043985674,0.6374076043985674,0.8540687906769606,1.0,0.6888857714738319,0.3908942168211595,0.29797613620357616,0.0,0.29797613620357616,0.3908942168211595,0.6888857714738319,1.0,1.0,0.6888857714738319,0.7269794170326992,0.7269794170326992,0.46441427467131635,0.5163666294930522,0.46441427467131635,0.3908942168211595,0.29797613620357616,0.0,0.0,0.0,0.0,0.29797613620357616,0.6346123886036732,0.6451223207131355,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.823976171113251,0.8769383135347537,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.6658842842919371,0.5163666294930522,0.46441427467131635,0.3908942168211595,0.29797613620357616,0.29797613620357616"
5,5c53a7c6035fc4000159cc99,21,male,0,visible,PARTICIPANT_rantool2_2021-07-13_21h41.41.723.csv,0.0,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
6,5cacc9cd0f757800019d0bac,19,male,1,invisible,PARTICIPANT_rantool2_2021-09-06_19h27.47.931.csv,0.9170428495292748,0.7005653695603175,0.16043657919785798,"0.9036628786659733,0.9831162550639014,0.9036628786659733,0.8731641347200653,0.8154676072578312,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.8154676072578312,0.8731641347200653,0.9036628786659733,0.8793119667114895,0.6658842842919371,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7019007226164857,0.6658842842919371,0.7272858092676827,0.7148165412061984,0.6538941581059146,0.6692712536042192,0.6692712536042192,0.6538941581059146,0.7148165412061984,0.7272858092676827,0.7148165412061984,0.6538941581059146,0.7704692183571815,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.8540687906769606,1.0,0.7148165412061984,0.7272858092676827,0.7148165412061984,1.0,0.8540687906769606,0.6374076043985674,0.6374076043985674,0.8540687906769606,1.0,0.7148165412061984,0.7272858092676827,0.7148165412061984,0.6538941581059146,0.6692712536042192,0.6692712536042192,0.6538941581059146,0.7148165412061984,0.7272858092676827,0.6658842842919371,0.7019007226164857,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.8769383135347537,0.8731641347200653,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.9382127444598711,0.9831162550639014,0.9036628786659733,0.8731641347200653,0.8154676072578312,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.8154676072578312,0.8731641347200653,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.9382127444598711,0.8793119667114895,0.7148165412061984,1.0,1.0,0.7148165412061984,0.7272858092676827,0.6658842842919371,0.5163666294930522,0.46441427467131635,0.7269794170326992,0.7269794170326992,0.6888857714738319,0.6538941581059146,0.6692712536042192,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.8154676072578312"
7,5cc58a0fa6e5a400014ea1fe,23,female,0,visible,PARTICIPANT_rantool2_2021-07-13_21h50.05.613.csv,0.46525389626186797,0.276840038173319,0.1990373355237315,"0.6692712536042192,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6418282963660096,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.6692712536042192,0.6860691934169049,0.6374076043985674,0.6374076043985674,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995,0.3905127177375995"
8,5ce2f5a44c6a04001cbcc397,38,female,0,visible,PARTICIPANT_rantool2_2021-07-13_20h48.43.045.csv,0.9197938602279657,0.6689100978656521,0.1623363011697727,"0.8769383135347537,0.8731641347200653,0.9036628786659733,0.8793119667114895,0.6658842842919371,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9382127444598711,0.8497583695735704,0.9302304327957966,0.9302304327957966,0.6451223207131355,0.8731641347200653,0.8769383135347537,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6538941581059146,0.7148165412061984,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7019007226164857,0.46441427467131635,0.7269794170326992,0.9302304327957966,0.6451223207131355,0.8731641347200653,0.8154676072578312,0.8540687906769606,1.0,0.7148165412061984,0.8793119667114895,0.9382127444598711,0.9382127444598711,0.9831162550639014,0.9382127444598711,0.8497583695735704,0.6346123886036732,0.8344680724958996,0.3908942168211595,0.6888857714738319,1.0,1.0,0.7148165412061984,0.7272858092676827,0.7148165412061984,1.0,1.0,0.7148165412061984,0.7272858092676827,0.7148165412061984,0.6538941581059146,0.6692712536042192,0.3905127177375995,0.6692712536042192,0.6538941581059146,0.7148165412061984,0.7272858092676827,0.7148165412061984,0.6538941581059146,0.6692712536042192,0.3905127177375995,0.6692712536042192,0.6538941581059146,0.7148165412061984,0.8793119667114895,0.9036628786659733,0.7795359730663132,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.9036628786659733,0.9831162550639014,0.9036628786659733,0.7795359730663132,0.8905074235975434,0.823976171113251,0.8769383135347537,0.7019007226164857,0.46441427467131635,0.3908942168211595,0.8344680724958996,0.3908942168211595,0.46441427467131635,0.7019007226164857,0.8769383135347537,0.823976171113251,0.823976171113251,0.8154676072578312,0.6860691934169049,0.6692712536042192,0.3905127177375995,0.3905127177375995"
9,5d03903f49c5dd00195ebc71,21,male,0,visible,PARTICIPANT_rantool2_2021-07-13_21h02.59.243.csv,0.9280728344916077,0.7384817943569164,0.1312128405229228,"0.9036628786659733,0.8731641347200653,0.8154676072578312,0.6860691934169049,0.7704692183571815,0.6538941581059146,0.6888857714738319,0.3908942168211595,0.29797613620357616,0.29797613620357616,0.6346123886036732,0.8497583695735704,0.9382127444598711,0.8793119667114895,0.7148165412061984,1.0,1.0,0.6888857714738319,0.7269794170326992,0.9302304327957966,0.6451223207131355,0.7795359730663132,0.8905074235975434,0.823976171113251,0.8154676072578312,0.8540687906769606,0.8540687906769606,0.6374076043985674,0.6418282963660096,0.7019007226164857,0.6658842842919371,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7780460470738995,0.8769383135347537,0.823976171113251,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.8905074235975434,0.7795359730663132,0.6451223207131355,0.6346123886036732,0.8344680724958996,0.6346123886036732,0.8497583695735704,0.9382127444598711,0.8793119667114895,0.6658842842919371,0.7019007226164857,0.8769383135347537,0.823976171113251,0.8905074235975434,0.7795359730663132,0.6451223207131355,0.6346123886036732,0.29797613620357616,0.0,0.0,0.0,0.29797613620357616,0.3908942168211595,0.6888857714738319,1.0,1.0,0.7148165412061984,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7019007226164857,0.46441427467131635,0.3908942168211595,0.8344680724958996,0.6346123886036732,0.6451223207131355,0.7795359730663132,0.8905074235975434,0.823976171113251,0.8769383135347537,0.7780460470738995,0.6418282963660096,0.6374076043985674,0.6860691934169049,0.7704692183571815,0.6860691934169049,0.8154676072578312,0.8731641347200653,0.9036628786659733,0.9831162550639014,0.9382127444598711,0.8497583695735704,0.6346123886036732,0.29797613620357616,0.29797613620357616,0.3908942168211595,0.46441427467131635,0.5163666294930522,0.6658842842919371,0.8793119667114895,0.9036628786659733,0.8731641347200653,0.8769383135347537,0.7019007226164857,0.6658842842919371,0.8793119667114895,0.9036628786659733"
