key_resp_15.keys,key_resp_15.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,ranodm_loop.thisRepN,ranodm_loop.thisTrialN,ranodm_loop.thisN,ranodm_loop.thisIndex,ranodm_loop.ran,participant,Wiek*,Płeć,date,expName,psychopyVersion,OS,frameRate,study_id,session,key_resp_16.keys,key_resp_16.rt,key_resp_4.keys,key_resp_4.rt,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,next_letter.ran,letter,simple_recall,key_resp_5.keys,key_resp_5.rt,simple_recall_corr,simple_recall_corrkeys,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_level.ran,key_resp_2.keys,key_resp_2.rt,digit_answer,key_resp.keys,key_resp.corr,key_resp.rt,RT_list,next_equation.thisRepN,next_equation.thisTrialN,next_equation.thisN,next_equation.thisIndex,next_equation.ran,Task,Trial,Problem,Operation_answer,processing_score,sumRT,meanRT,sumdiff,sd,RT,key_resp_3.keys,key_resp_3.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,operation_correct,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,repeat_if_wrong_prac.ran,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,span_size_prac.ran,complex_recall_practice,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,complex_prac_corr,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_recall_prac.ran,key_resp_10.keys,key_resp_10.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,repeat_if_wrong.ran,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,span_size.ran,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,complex_recall_corr,complex_recall_corrkeys,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_recall.ran,key_resp_12.keys,key_resp_12.rt
,,"[""comma""]",0,[0.9000000000000341],26,0,26,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.6759999999999877],27,0,27,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.5769999999999982],28,0,28,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.7569999999999482],29,0,29,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.6070000000000277],30,0,30,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.3359999999999559],31,0,31,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.25099999999997635],32,0,32,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.5020000000000095],33,0,33,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.2580000000000382],34,0,34,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.25799999999998136],35,0,35,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.3280000000000314],36,0,36,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.2270000000000323],37,0,37,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.3790000000000191],38,0,38,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""comma""]",0,[0.2769999999999868],39,0,39,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.228999999999985],40,0,40,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.2279999999999518],41,0,41,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""period""]",0,[0.4269999999999641],42,0,42,0,1,5c4236103be7b70001fd01c5,29,Mężczyzna,2022-06-04_08h12.23.420,task,2021.1.4,Win32,40,628b806c463b948bc644b84f,629af6dd162e2b2a32cb5c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
