key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_4.keys,key_resp_4.rt,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,next_letter.ran,letter,participant,Wiek*,Płeć,date,expName,psychopyVersion,OS,frameRate,study_id,session,key_resp_5.keys,key_resp_5.rt,simple_recall_corr,simple_recall_corrkeys,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_level.ran,simple_recall,key_resp_2.keys,key_resp_2.rt,digit_answer,key_resp.keys,key_resp.corr,key_resp.rt,RT_list,next_equation.thisRepN,next_equation.thisTrialN,next_equation.thisN,next_equation.thisIndex,next_equation.ran,Task,Trial,Problem,Operation_answer,processing_score,sumRT,meanRT,sumdiff,sd,RT,key_resp_3.keys,key_resp_3.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,operation_correct,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,repeat_if_wrong_prac.ran,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,span_size_prac.ran,complex_recall_practice,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,complex_prac_corr,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_recall_prac.ran,key_resp_10.keys,key_resp_10.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,repeat_if_wrong.ran,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,span_size.ran,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,complex_recall_corr,complex_recall_corrkeys,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_recall.ran,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,random_loop.thisRepN,random_loop.thisTrialN,random_loop.thisN,random_loop.thisIndex,random_loop.ran,key_resp_12.keys,key_resp_12.rt
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,"[""x"",""h"",""l""]","[0.8689999999999998,1.9505000000000052,2.384199999999268,2.8667999999988893]",1,XHL,5,0,5,0,1,xhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,"[""q"",""g"",""g"",""p""]","[1.3485000000000014,2.0653000000007466,2.198600000001491,2.730800000000741,3.5307000000011186]",1,QGGP,6,0,6,0,1,qggp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,"[""p"",""m"",""m"",""g""]","[0.8989999999999867,1.16929999999887,1.2980999999996214,1.598399999998506,2.182399999998509]",1,PMMG,7,0,7,0,1,pmmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,"[""s"",""c"",""l"",""j"",""z""]","[0.8654999999999973,1.1315999999996222,1.7994999999999948,2.082299999998881,2.4824999999999875,3.1491999999992544]",1,SCLJZ,8,0,8,0,1,scljz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,"[""d"",""b"",""g"",""b"",""d""]","[1.1856999999992581,1.5330999999996493,2.1336999999992656,2.4474000000003855,2.7987999999988915,3.449099999999646]",0,DBGBG,9,0,9,0,1,dbgbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f2046327f613f0e2c89c7dd,24,Kobieta,2022-06-11_09h27.35.692,task,2021.1.4,MacIntel,60.0024001,6299f149e92ead563fba08ef,62a443d81be75f39da88f0e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
