key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_4.keys,key_resp_4.rt,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,next_letter.ran,letter,participant,Wiek*,Płeć,date,expName,psychopyVersion,OS,frameRate,study_id,session,simple_recall,key_resp_5.keys,key_resp_5.rt,simple_recall_corr,simple_recall_corrkeys,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_level.ran,key_resp_2.keys,key_resp_2.rt,digit_answer,key_resp.keys,key_resp.corr,key_resp.rt,RT_list,next_equation.thisRepN,next_equation.thisTrialN,next_equation.thisN,next_equation.thisIndex,next_equation.ran,Task,Trial,Problem,Operation_answer,processing_score,sumRT,meanRT,sumdiff,sd,RT,key_resp_3.keys,key_resp_3.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.corr,operation_correct,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,repeat_if_wrong_prac.ran,key_resp_11.rt,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,span_size_prac.ran,complex_recall_practice,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,complex_prac_corr,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_recall_prac.ran,key_resp_10.keys,key_resp_10.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,repeat_if_wrong.ran,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,span_size.ran,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,complex_recall_corr,complex_recall_corrkeys,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_recall.ran,key_resp_13.keys,key_resp_13.corr,random_loop.thisRepN,random_loop.thisTrialN,random_loop.thisN,random_loop.thisIndex,random_loop.ran,key_resp_13.rt,key_resp_12.keys,key_resp_12.rt
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,nxr,"[""n"",""x"",""r""]","[0.6651999999284754,1.3376999999284749,1.72419999992848,1.9360999999046342]",1,NXR,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,fxx,"[""f"",""x"",""x""]","[0.7798000000715248,1.1766000000238463,1.3428999999761615,1.5322000000476876]",1,FXX,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,dsrl,"[""d"",""s"",""r"",""l""]","[0.8574000000953674,1.1240000000000023,1.4320000000000022,1.8703000000715306,2.073600000023845]",1,DSRL,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,jxnp,"[""j"",""x"",""n"",""p""]","[1.2157999999523241,1.88900000000001,2.5567000000476767,2.9061000000238337,3.0634999999999977]",1,JXNP,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,knxjk,"[""k"",""n"",""x"",""j"",""k""]","[1.5221000000238405,2.3167000000476747,3.2652000000476704,3.7107999999523145,3.9197999999523034,4.127499999999998]",1,KNXJK,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,xkrxc,"[""x"",""k"",""r"",""x"",""c""]","[0.8537000000476809,1.290899999976162,2.0522000000476908,2.636499999999998,6.450300000071522,6.70060000002384]",0,XKRXB,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,wkrxl,"[""w"",""k"",""r"",""x"",""l""]","[1.7543000000715239,2.3237000000476797,2.78140000009536,3.3077000000476744,3.713400000095362,3.9923000000715234]",1,WKRXL,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
