key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_4.keys,key_resp_4.rt,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,next_letter.ran,letter,participant,Wiek*,Płeć,date,expName,psychopyVersion,OS,frameRate,study_id,session,simple_recall,key_resp_5.keys,key_resp_5.rt,simple_recall_corr,simple_recall_corrkeys,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_level.ran,key_resp_2.keys,key_resp_2.rt,digit_answer,key_resp.keys,key_resp.corr,key_resp.rt,RT_list,next_equation.thisRepN,next_equation.thisTrialN,next_equation.thisN,next_equation.thisIndex,next_equation.ran,Task,Trial,Problem,Operation_answer,processing_score,sumRT,meanRT,sumdiff,sd,RT,key_resp_3.keys,key_resp_3.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,operation_correct,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,repeat_if_wrong_prac.ran,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,span_size_prac.ran,complex_recall_practice,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,complex_prac_corr,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_recall_prac.ran,key_resp_10.keys,key_resp_10.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,repeat_if_wrong.ran,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,span_size.ran,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,complex_recall_corr,complex_recall_corrkeys,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_recall.ran,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,random_loop.thisRepN,random_loop.thisTrialN,random_loop.thisN,random_loop.thisIndex,random_loop.ran,key_resp_12.keys,key_resp_12.rt
,,,,,,,,,,,,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,mrwj,"[""m"",""r"",""w"",""j""]","[0.9279999999999973,1.2889999999999873,2.2520000000000095,2.819999999999993,3.268000000000029]",1,MRWJ,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,qxbtj,"[""q"",""x"",""b"",""t"",""j""]","[2.5989999999999895,3.076999999999998,3.5289999999999964,3.894999999999982,4.391999999999996,4.961000000000013]",0,QXBTL,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,ndtfn,"[""n"",""d"",""t"",""f"",""n""]","[1.5980000000000132,3.0640000000000214,3.632000000000005,4.2309999999999945,5.228000000000009,5.798999999999978]",1,NDTFN,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,fbwnt,"[""f"",""b"",""w"",""n"",""t""]","[1.549000000000035,2.4180000000000064,2.813000000000045,3.4600000000000364,3.7789999999999964,4.260000000000048]",0,FBWMD,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,5f0214e58782120a8c970fd6,33,Kobieta,2022-06-11_11h06.12.810,task,2021.1.4,Win32,60.0240096,6299f149e92ead563fba08ef,62a45aa71aae361cb741fd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
